"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 25 20:48:03 MDT 2024","Thu Apr 25 20:48:03 MDT 2024","1","chromium","Example_windows.spec.js","","","","windowsHandling",""
"passed","Thu Apr 25 20:48:03 MDT 2024","Thu Apr 25 20:48:17 MDT 2024","13630","chromium","Example_windows.spec.js","","","","handleMultiplePages",""
